episode,reward,steps,completed_lap,collisions,epsilon
262,4986.850579643252,1320,1,17,0.45512582339845575
263,4391.139099197392,1136,1,13,0.45376044592826037
264,6444.961368932693,1708,1,24,0.4523991645904756
265,7994.761345481794,2435,1,38,0.45104196709670413
266,3967.4881454849383,1078,1,12,0.449688841195414
267,8050.7920378874915,2189,1,32,0.4483397746718278
268,3776.9552994918977,1004,1,13,0.4469947553478123
269,5475.457366027826,1583,1,21,0.44565377108176885
270,3483.9023862838826,935,1,12,0.44431680976852356
271,3997.17542182924,1009,1,12,0.44298385933921797
272,9326.467150878803,2500,0,39,0.4416549077612003
273,5446.43588312147,1591,1,22,0.4403299430379167
274,5842.903383941643,1559,1,22,0.43900895320880295
275,3774.79695719959,1071,1,13,0.43769192634917653
276,4571.899495182052,1232,1,17,0.436378850570129
277,2987.8819235801802,780,1,8,0.4350697140184186
278,2836.508397102365,695,1,7,0.43376450487636337
279,4414.375827140812,1154,1,12,0.43246321136173427
280,2910.360226726542,730,1,8,0.43116582172764906
281,3681.495720243467,900,1,10,0.42987232426246613
282,6280.642048006024,1666,1,23,0.42858270728967873
283,3580.6193010330285,900,1,11,0.4272969591678097
284,3306.6731710815516,818,1,9,0.4260150682903063
285,5344.0445472335705,1387,1,19,0.4247370230854354
286,4362.784867134103,1153,1,13,0.4234628120161791
287,4970.336144456862,1362,1,16,0.42219242358013054
288,3589.091317634595,881,1,9,0.4209258463093902
289,3607.64600506784,977,1,11,0.419663068770462
290,4593.656784496308,1142,1,14,0.4184040795641506
291,5277.514565925582,1471,1,19,0.41714886732545814
292,3894.7913363647585,994,1,12,0.41589742072348174
293,3952.0445089149607,1071,1,13,0.4146497284613113
294,5800.120868663767,1521,1,18,0.41340577927592737
295,4696.579862556469,1162,1,14,0.41216556193809956
296,4564.682249002466,1131,1,14,0.41092906525228523
297,4703.483186578746,1240,1,16,0.40969627805652836
298,5196.5257708930885,1438,1,19,0.40846718922235875
299,4103.719289550796,1087,1,14,0.40724178765469166
300,3263.4179172515987,795,1,8,0.4060200622917276
301,3340.1149920654416,804,1,7,0.4048020021048524
302,3425.939012761128,884,1,9,0.40358759609853784
303,3341.782857656489,815,1,7,0.4023768333102422
304,5235.691143598544,1468,1,20,0.4011697028103115
305,4414.875040893567,1131,1,13,0.3999661937018806
306,2797.294206542973,644,1,5,0.39876629512077494
307,4132.691212768572,1084,1,13,0.3975699962354126
308,3266.730251731887,763,1,8,0.3963772862467064
309,3803.7474279785256,933,1,11,0.39518815438796623
310,3131.436365143069,782,1,8,0.3940025899248023
311,2793.0271369838783,648,1,5,0.3928205821550279
312,3154.0600953745916,796,1,7,0.39164212040856283
313,4374.179191551223,1147,1,15,0.39046719404733715
314,3889.842535476697,931,1,10,0.38929579246519513
315,3836.9664394950983,927,1,9,0.38812790508779954
316,7114.5513441752855,1884,1,27,0.38696352137253615
317,4621.463664798736,1201,1,14,0.38580263080841853
318,7360.851652135782,1898,1,28,0.3846452229159933
319,6621.488693895293,1768,1,24,0.3834912872472453
320,3667.4289148140056,901,1,10,0.3823408133855036
321,3874.7146239471617,1024,1,12,0.38119379094534706
322,3107.208541412359,704,1,5,0.380050209572511
323,3719.16013336183,1020,1,12,0.3789100589437935
324,4057.604444684997,978,1,12,0.3777733287669621
325,4447.651618433011,1080,1,13,0.37664000878066123
326,3946.1211704826515,1047,1,14,0.37551008875431924
327,4083.266940259951,1155,1,13,0.37438355848805627
328,4046.517214488998,1095,1,12,0.3732604078125921
329,3656.618923606885,943,1,11,0.37214062658915437
330,3712.664581375133,881,1,9,0.3710242047093869
331,6260.447454013793,1688,1,21,0.3699111320952587
332,3868.7567636299254,996,1,9,0.36880139869897294
333,4661.36091122628,1185,1,15,0.367694994502876
334,3243.7950810098746,818,1,8,0.3665919095193674
335,5010.6680152893105,1300,1,17,0.36549213379080925
336,4149.238633861556,1028,1,12,0.3643956573894368
337,3001.245245971689,678,1,6,0.3633024704172685
338,8848.18909833899,2346,1,34,0.3622125630060167
339,3430.0670645332416,817,1,8,0.3611259253169986
340,3566.5370301056,931,1,11,0.3600425475410476
341,4342.824887695327,1118,1,14,0.3589624198984244
342,4015.8488844299504,1078,1,13,0.35788553263872913
343,3705.6542827415574,831,1,9,0.35681187604081294
344,3497.8122949123485,775,1,7,0.3557414404126905
345,5315.081503238662,1338,1,18,0.35467421609145244
346,4168.375378341692,1044,1,12,0.35361019344317807
347,3237.523782877929,776,1,9,0.35254936286284855
348,4339.018308563248,1054,1,13,0.35149171477426
349,5879.807523193341,1433,1,19,0.3504372396299372
350,3948.139802055376,971,1,12,0.3493859279110474
351,4811.921775588995,1192,1,16,0.34833777012731426
352,3033.094911837584,790,1,8,0.34729275681693234
353,3044.941570606242,793,1,7,0.3462508785464815
354,3667.973070640575,879,1,11,0.34521212591084205
355,3982.70076934816,984,1,10,0.34417648953310953
356,6138.082180747963,1677,1,21,0.3431439600645102
357,3215.8277293109995,773,1,6,0.34211452818431665
358,4101.138078289047,1001,1,11,0.3410881845997637
359,3622.987473201765,945,1,12,0.3400649200459644
360,3453.4753390884553,882,1,10,0.3390447252858265
361,4688.38292892457,1306,1,16,0.33802759110996905
362,2917.1384469413833,628,1,6,0.3370135083366391
363,2671.8183766746565,593,1,4,0.3360024678116292
364,3588.4843401146086,824,1,8,0.3349944604081943
365,4394.540313692112,1049,1,12,0.33398947702696974
366,5163.876043162332,1352,1,18,0.3329875085958888
367,3617.739168415082,907,1,10,0.33198854607010114
368,3118.393493995676,762,1,9,0.33099258043189084
369,4642.644831275948,1235,1,15,0.32999960269059514
370,2615.7246306419433,510,1,3,0.32900960388252337
371,4343.429963645952,1107,1,13,0.3280225750708758
372,3858.831895408642,962,1,12,0.32703850734566314
373,6543.436136703443,1816,1,26,0.32605739182362614
374,3189.506191616066,726,1,7,0.3250792196481553
375,3648.909529762277,816,1,10,0.3241039819892108
376,3135.409864234934,720,1,7,0.32313167004324317
377,4007.1569726371936,998,1,12,0.32216227503311345
378,3207.131301269537,722,1,7,0.3211957882080141
379,3369.64904235841,793,1,8,0.32023220084339005
380,3354.1514246559236,732,1,8,0.31927150424085987
381,5049.836655158995,1284,1,17,0.3183136897281373
382,3414.244029674546,837,1,9,0.31735874865895286
383,3806.7839114856843,939,1,11,0.316406672412976
384,3294.593670940409,840,1,7,0.3154574523957371
385,3414.2750564050775,829,1,9,0.3145110800385499
386,2938.155784072881,663,1,5,0.31356754679843424
387,7575.959725398942,2084,1,34,0.31262684415803893
388,4685.375318441395,1127,1,13,0.3116889636255648
