episode,reward,steps,laps,collisions,speed
437,3074.277991323481,411,1,8,65.43952862284583
438,2597.9052553939864,296,1,4,95.0
439,5756.673540649401,982,1,27,68.28881239386307
440,3187.2833336639433,436,1,9,95.0
441,4364.348842659003,633,1,14,65.43952862284583
442,4122.9680556869625,612,1,14,95.0
443,3866.153667697912,512,1,10,95.0
444,2758.2409258079547,409,1,9,65.43952862284583
445,4162.385114612592,618,1,14,95.0
446,4360.417514419572,650,1,15,95.0
447,2939.176620254522,377,1,7,95.0
448,2998.706938838963,425,1,9,65.43952862284583
449,2715.6639806747426,310,1,4,95.0
450,3238.1539315509817,471,1,10,65.43952862284583
451,4223.829093627941,621,1,14,65.43952862284583
452,2779.3199967002856,337,1,5,95.0
453,5125.008446044923,779,1,18,65.43952862284583
454,3858.956194448478,540,1,11,65.43952862284583
455,3466.1345703887996,471,1,9,95.0
456,3221.0272601699903,442,1,9,95.0
457,3997.1042602157636,557,1,12,95.0
458,3196.493921508795,438,1,9,65.43952862284583
459,3097.2327301025416,390,1,7,95.0
460,3414.284665832527,497,1,11,95.0
461,4159.970509414682,606,1,13,95.0
462,2826.8028198242264,370,1,7,95.0
463,3929.768943481457,531,1,11,95.0
464,3171.1738537788447,480,1,11,68.28881239386307
465,4308.1623742103675,650,1,15,95.0
466,3617.9429681778024,495,1,10,95.0
467,3935.232986831673,580,1,12,95.0
468,3344.105640485293,413,1,7,95.0
469,3328.526229305269,469,1,11,95.0
470,3288.111381835941,444,1,9,65.43952862284583
471,3220.101312637335,340,1,4,95.0
472,3489.2868674087576,451,1,8,95.0
473,3090.2725994491625,403,1,7,95.0
474,3120.2175798797634,383,1,6,95.0
475,2727.7660417270704,429,1,10,68.28881239386307
476,2821.897291870119,399,1,8,65.43952862284583
477,3079.713535232549,414,1,8,95.0
478,2694.6378499412563,363,1,7,68.28881239386307
479,4544.670280056009,691,1,16,65.43952862284583
480,4258.428413085949,626,1,14,65.43952862284583
481,3367.2853359222468,460,1,9,68.28881239386307
482,3084.876984481817,366,1,6,65.43952862284583
483,3455.4219014930773,481,1,10,68.28881239386307
484,3674.1761430931215,539,1,12,65.43952862284583
485,3167.012183227546,423,1,9,95.0
486,2956.0277838516295,411,1,8,95.0
487,2682.6971533203146,343,1,7,95.0
488,2995.10507995606,434,1,9,95.0
489,3923.2150461959914,581,1,14,95.0
490,4361.690898818976,659,1,15,95.0
491,3135.24645596505,447,1,10,65.43952862284583
492,3270.5095829057714,441,1,8,95.0
493,3610.701909832963,526,1,12,65.43952862284583
494,3824.984271144876,580,1,13,95.0
495,3824.1192398929666,578,1,13,65.43952862284583
496,4772.872717247016,732,1,17,95.0
497,3530.547711257942,421,1,7,95.0
498,4164.701153354651,596,1,13,95.0
499,4364.7902526092585,639,1,14,95.0
500,3223.593403739933,444,1,9,95.0
501,4018.2853442001415,581,1,13,95.0
502,4135.352316894537,603,1,13,95.0
503,4043.044179077155,579,1,12,65.43952862284583
504,3013.1404570579575,435,1,9,65.43952862284583
505,3495.6965932083226,444,1,8,95.0
506,3290.9400202274373,470,1,10,95.0
507,2926.912629127508,390,1,7,95.0
508,4221.187164878851,610,1,13,95.0
509,3824.0295623779393,565,1,14,0.0
510,3220.7283143234295,454,1,9,95.0
511,2918.394503936768,397,1,8,95.0
512,3513.1440234375114,479,1,10,65.43952862284583
513,3073.137607688909,439,1,9,95.0
514,2958.6629350471494,381,1,7,65.43952862284583
515,3354.0180206728064,469,1,10,65.43952862284583
516,3751.638241348273,552,1,13,95.0
517,3884.601366577162,552,1,12,65.43952862284583
518,4180.512374954231,581,1,12,95.0
519,3273.890183105471,448,1,9,95.0
520,3454.745351467141,507,1,12,65.43952862284583
521,3337.4370677566594,472,1,9,95.0
522,3012.970428009037,414,1,8,95.0
