episode,reward,steps,laps,collisions,speed
99,3477.1836522293215,959,1,11,40.946473390207636
100,3097.9823525428887,895,1,12,51.33114953833573
101,3548.877735137959,1035,1,12,43.21245772317413
102,3094.7240460205153,686,1,8,54.95906124269147
103,3164.546629886636,836,1,9,71.30057085825663
104,3442.579196681985,898,1,12,29.133182101384175
105,4242.249982166305,1130,1,15,46.0652709077347
106,4500.736059246073,1367,1,19,55.55032355149006
107,3024.4313966941913,774,1,9,41.089572741891175
108,4054.756886091248,1083,1,16,34.53586679204118
109,3373.1894445419384,870,1,9,37.24027955873328
110,3855.655300846113,1058,1,13,32.57607329800146
111,3215.2531881713967,748,1,7,39.52954771669884
112,4530.358063621536,1219,1,16,47.19332448428211
113,3128.9507340049795,762,1,9,35.853983245457144
114,3564.4401499557644,891,1,11,60.349163809194486
115,3467.2824481964194,840,1,10,57.823781342458304
116,3105.755191555037,773,1,8,53.7605787634908
117,3330.114042968763,814,1,9,27.736960406338895
118,3474.0638013315356,964,1,11,36.52807132570675
119,3908.8038637542863,813,1,10,92.17821621187169
120,2854.7164361357754,620,1,6,36.49183454989569
121,3634.095692749037,824,1,10,54.91941949168869
122,3562.9780084610115,775,1,9,55.667258049033265
123,3629.2621918630675,819,1,10,53.42679583809657
124,3255.724471216213,771,1,9,53.52633276483261
125,3336.9816815185613,836,1,10,55.90193929628447
126,3766.404040527357,1020,1,14,57.676730115364755
127,2943.562369509354,686,1,8,38.07116229933885
128,3420.124794706114,933,1,12,29.378796803915336
129,3881.3858214950733,972,1,14,55.41688080635602
130,3995.9453190040745,979,1,13,26.009011759492527
131,3801.805106449137,905,1,11,59.65843887701342
132,4399.09979717733,1300,1,17,46.16734358298446
133,3074.967431640631,690,1,6,49.63779093997498
134,4600.828999366767,1233,1,18,46.249437383979
135,4201.41862781526,896,1,12,43.09871656074484
136,4036.6658825683767,1036,1,15,34.04674935213603
137,2866.998477764137,574,1,6,37.01785790628168
138,3158.455580673229,717,1,9,44.89721636512074
139,3326.1432616996867,881,1,11,62.07584248331987
140,3345.6021751785374,728,1,8,78.3325742648364
141,3174.777290725718,715,1,9,65.02418592357094
142,3111.8331872558665,712,1,8,59.53998122171744
143,3010.703738040929,709,1,8,38.37847835048647
144,3626.0787722396913,911,1,10,70.34560525317947
145,3133.4843961906513,759,1,8,43.023098552657416
146,3603.2722754859997,848,1,10,53.66804697068293
147,3364.8464624023527,782,1,9,56.58008865280198
148,3402.98337524415,776,1,8,36.54828531894546
149,3579.426868839277,774,1,9,55.17904365657215
150,2562.875616436008,526,1,4,51.865698049188886
151,3279.249381217964,807,1,10,48.181400156922805
152,2935.108332633978,615,1,5,69.42916008774444
153,3515.9309304762014,901,1,11,33.16054508982823
154,2600.941348133094,487,1,3,54.68079187354344
155,3962.8663167953637,1215,1,12,39.01561639073619
156,3447.491919040696,940,1,15,36.02405697762757
157,3792.001559095397,936,1,12,52.2337017350484
158,2928.904791870128,723,1,8,59.667565746027385
159,3515.535393562328,908,1,11,60.211945304658414
160,3460.947750186933,810,1,10,48.054888894006794
161,3122.0348198890715,705,1,9,34.421769099922265
162,2807.852852299221,588,1,4,61.64269864205929
163,3916.686452522291,988,1,14,57.99012434841409
164,3915.4778600025365,891,1,12,71.65758157074674
165,3026.8479072952323,688,1,8,64.73329946677913
166,3070.270945930488,665,1,7,50.00988914824868
167,2874.686227188118,532,1,5,42.846546400525796
168,3703.949618892686,936,1,10,57.59787518799707
169,4010.3765857696703,990,1,13,39.06901410597424
170,3407.658850116739,764,1,8,52.46728984174509
171,3102.5968068361394,820,1,9,44.48497792866197
172,2787.893771972661,598,1,5,52.61716820685129
173,2911.2361378479054,561,1,6,81.52003401785532
174,3120.9732814788863,720,1,8,44.61979068448567
175,3391.3076395320973,711,1,8,44.925185653503675
176,3567.7809150886646,969,1,12,43.33827237785992
177,2829.5401451492344,648,1,7,0.0
178,4488.215641326921,1144,1,15,54.63487503475905
179,3173.4811846923935,709,1,6,48.3870594761213
180,3294.419441108711,781,1,8,51.59898082527389
181,3908.2033277034857,1075,1,12,46.694082387356524
