episode,reward,steps,laps,collisions,speed
228,5082.308938484197,1501,1,21,66.05241877856625
229,4525.6122182464715,1242,1,18,75.58351816563278
230,4049.586819953933,1069,1,14,46.18428565732047
231,3333.7466261577647,814,1,9,39.439458167348725
232,3894.837069206249,981,1,10,60.59474787591001
233,5294.005022163389,1529,1,20,74.94231634945879
234,3274.8333207321252,809,1,9,67.07830364173512
235,2963.666287117009,666,1,6,58.10962541684069
236,2726.5092396164023,603,1,4,58.907158285616674
237,2698.039126458173,618,1,5,48.092250675810966
238,3180.2887520218,763,1,8,69.0909031874222
239,3514.328818435682,924,1,10,59.876512985558136
240,3547.3690124511827,870,1,10,59.3594959718071
241,3829.178461303723,923,1,11,56.17238803078646
242,3183.992462778099,780,1,7,40.74286029431803
243,3933.2118499755975,945,1,12,57.34126479651976
244,3542.9766586303813,875,1,10,58.84439670661502
245,3044.796675682071,620,1,5,63.61717603619435
246,3483.67596233369,881,1,11,66.88904272819603
247,4920.099786376967,1480,1,19,67.3193636015654
248,2771.225224876412,610,1,5,63.302420733741286
249,4730.685732421889,1247,1,14,53.60172196215451
250,3913.479220581068,910,1,10,50.67550384393454
251,3596.248523750318,978,1,12,46.17373584671506
252,2719.0196422767713,589,1,5,46.92787553689376
253,3881.5736770653875,1018,1,13,54.59762622414892
254,5971.498668918592,1662,1,23,67.14102384885612
255,3864.0544981193707,1014,1,11,62.047317340009
256,3993.5987870025833,1006,1,13,54.99035894614301
257,3036.4822383499186,707,1,6,36.96236265394634
258,4167.493053264635,1039,1,13,55.132033185526154
259,3499.812052001964,893,1,9,47.82409739352306
260,2687.493560695654,555,1,5,47.632968357136534
261,4910.864505615235,1328,1,17,54.144339151857935
262,4480.7726688766625,1223,1,14,57.701450306772486
263,5355.012103424058,1512,1,20,64.14782255259621
264,4329.8017778015255,1272,1,16,0.0
265,4116.307736091624,1061,1,14,39.29752680154582
266,4080.1999749756005,1052,1,12,75.55441863014008
267,3474.1998602867197,870,1,9,65.05424286682184
268,3151.8241043281664,789,1,8,52.8420180832454
269,3025.529886112222,762,1,8,41.9603706067133
270,2755.9973843193134,737,1,7,72.17020740545348
271,2938.0086114502024,702,1,8,51.70255204151068
272,3351.3698161506777,843,1,8,55.187311076896115
273,2984.700295505533,712,1,6,51.67294882123288
274,2968.344192123417,725,1,6,68.45306933797109
275,3815.9384239959804,976,1,11,69.3437064656493
276,3764.3802249336377,1018,1,13,72.2709874715648
277,4660.9079511642485,1135,1,14,51.24511165589709
278,3567.2865706348507,838,1,11,54.687976947812686
279,3380.1328424072376,837,1,9,49.10238123794109
280,3249.638407821662,744,1,7,72.0467967106758
281,3553.544763088239,990,1,13,41.80942485462172
282,4623.347723884594,1229,1,16,49.045958489245244
283,2613.3584350586007,580,1,4,40.38352484561773
284,2649.0985591125545,544,1,4,40.72762045257469
285,4019.435856761942,1008,1,14,66.05776399574019
286,4664.607736701968,1184,1,15,47.16441145401356
287,4356.642725200667,1109,1,15,57.75317863051668
288,3493.8467490291646,782,1,10,65.79723551616523
289,4314.909664001486,1098,1,14,55.704021792177606
290,4100.322536220562,1078,1,13,55.76206140240322
291,4669.507014980324,1203,1,14,67.05183269258629
292,4984.056042995453,1238,1,16,58.28836976942007
293,3556.192183723467,948,1,13,67.06705220281697
294,3907.2989093017686,1009,1,11,63.14612866354978
295,3111.581831626898,786,1,8,62.33272455990066
296,4170.061266746541,1178,1,15,36.112165802335625
297,2961.769309997565,735,1,7,52.98787922276911
298,3834.1575650024533,1031,1,12,58.12911019235086
299,2837.1108241653515,602,1,5,69.01272641058011
300,2684.2793782520357,621,1,6,63.82283495632739
301,3146.0888166809145,703,1,7,52.49764635667354
302,2745.9331713104298,603,1,4,64.91625018070813
303,4065.2979882812638,957,1,9,63.18177456639716
304,3257.1665081596466,817,1,9,65.90787550151467
305,4327.677772796166,1065,1,12,49.8107437862255
306,8446.175539703261,2494,1,41,64.40965077534774
307,2960.0672009277373,686,1,6,52.55673603700705
308,3150.574669189457,824,1,7,59.83530326194181
309,4280.93361679078,1162,1,15,41.33438207000601
310,3073.6559960174654,731,1,7,64.96166445234535
311,3326.2009347629623,814,1,9,60.446057423434866
312,2605.5003589248713,552,1,5,53.49866894967301
313,3108.57863888741,645,1,6,57.802396036352256
314,2727.185474681858,510,1,3,73.31308008766669
315,5340.4439434433,1538,1,23,63.17799798753242
316,3531.8494060134994,872,1,11,65.4336767161026
317,4060.378440189364,1030,1,11,59.87854103454683
318,4601.8628759765725,1253,1,18,66.72737680972669
319,4979.490277614589,1383,1,20,53.40968188029763
320,4224.04723533632,1108,1,14,70.21215554338758
321,4754.504957542423,1292,1,16,58.79071389588006
322,3500.348142423638,873,1,9,44.42391485290383
323,3620.8147669220075,898,1,9,63.10822384787245
324,2477.292943449023,549,1,4,56.4287879326843
325,3153.366602401742,751,1,7,71.85954297027563
326,4520.753885498062,1198,1,16,43.498347270987054
327,3240.619541244519,791,1,8,36.42002241936564
328,3883.060625019081,978,1,13,80.53494503272307
329,4086.8140724945206,1061,1,12,58.38120120311095
330,3765.0730364990322,904,1,10,41.839417945822206
331,3172.3612643241986,730,1,8,52.08441776120619
332,3677.7450637245265,828,1,10,57.84853537436125
333,3497.35695883752,804,1,10,42.89647738956588
334,3678.7153320312573,955,1,13,62.01675210432139
335,4152.833458251968,1044,1,11,55.02754678560829
336,3344.3332755279666,889,1,12,73.70499541312356
337,4167.416092796343,999,1,12,66.37626593367654
338,4418.960030365002,1145,1,14,69.6306856902577
339,3945.863554019939,934,1,11,48.00386441731746
340,3492.806815185559,838,1,9,58.86625075272664
341,4019.5097155380386,1001,1,11,74.18628360539579
342,5760.727231254556,1408,1,18,39.366408651237805
